id,est_rating
1,935
2,1045
3,1203
4,1552
5,1298
6,1782
8,1406
9,1741
10,947
13,738
14,1129
15,724
16,824
17,916
18,773
19,912
20,897
21,786
22,908
23,802
24,793
25,728
27,949
28,940
29,673
30,959
31,972
32,743
33,698
34,971
35,746
36,1004
37,899
38,885
39,824
40,914
41,1008
42,794
43,973
44,938
45,808
46,710
47,964
48,921
49,713
50,1025
51,965
52,801
53,944
54,948
56,741
57,891
58,841
59,950
60,790
61,920
62,698
64,696
65,752
66,987
69,796
71,934
72,986
73,906
74,902
75,794
76,1028
78,931
79,940
80,809
81,997
82,901
83,904
84,768
85,921
87,760
89,926
90,912
91,1022
92,1206
93,765
95,1020
96,696
97,686
98,791
99,767
102,821
103,937
104,900
105,896
106,1018
107,765
108,1030
109,921
110,903
111,910
112,920
114,796
115,907
116,953
117,930
118,918
119,976
121,1074
122,796
123,732
124,774
125,969
126,1009
127,671
128,684
129,662
130,729
131,918
132,745
133,907
134,897
135,742
136,1009
137,950
138,880
140,910
142,980
143,944
144,949
145,932
146,687
147,822
148,1038
149,975
150,819
151,730
153,763
154,918
155,919
156,737
157,711
158,718
159,712
160,723
163,762
164,768
165,961
166,849
167,949
168,935
169,950
172,812
173,914
175,821
176,928
177,849
179,950
182,884
183,766
184,833
185,899
186,960
187,936
189,772
190,890
191,873
192,697
193,704
194,691
195,960
196,948
197,919
198,898
199,902
201,1004
203,918
204,994
205,798
206,904
207,923
208,950
209,774
210,906
211,781
212,980
213,757
214,910
215,702
216,721
217,895
218,653
219,921
220,923
221,712
223,730
224,656
225,1029
227,950
228,822
229,938
230,726
231,932
232,797
233,912
234,792
235,772
236,916
237,963
238,771
239,876
240,932
241,811
242,885
243,667
244,929
245,667
246,721
248,739
249,953
250,707
251,693
253,687
254,776
255,724
256,729
258,839
261,978
262,946
263,771
264,707
265,972
266,931
267,974
268,941
271,923
272,724
273,915
274,717
275,915
276,823
277,781
278,961
279,727
280,793
281,954
282,1350
283,961
284,1053
285,773
286,899
287,954
288,658
289,722
290,746
291,704
292,796
293,975
294,767
295,947
296,800
297,908
299,822
300,740
301,959
302,918
304,758
305,988
306,723
307,665
308,721
309,766
310,996
311,929
312,738
313,811
314,944
315,780
316,768
317,749
318,673
319,908
321,735
322,919
324,739
325,778
326,933
327,891
328,901
329,803
330,920
331,933
332,972
334,748
335,751
336,756
337,702
338,962
339,757
342,1026
343,689
344,932
345,945
346,672
347,657
348,987
349,1718
352,989
353,1515
354,1580
355,923
356,898
357,783
358,1497
359,1031
360,1117
361,1390
362,976
363,1257
364,1188
365,1907
366,1059
370,1681
371,1072
372,1427
373,944
374,1129
375,1420
376,1332
377,1134
378,1281
379,761
380,759
381,1250
382,938
383,1360
384,1579
385,1751
386,1665
387,1429
388,1734
390,941
391,1064
392,1201
393,933
394,1883
395,1045
396,1491
397,1270
398,1587
399,1719
400,1937
401,942
403,1604
404,981
405,1110
406,1442
407,1320
408,1532
409,1090
410,1879
411,1538
412,740
413,1669
415,1479
416,1397
417,1344
418,1460
419,1780
420,1006
421,1183
422,1355
423,902
424,1797
425,1755
426,1749
427,1867
428,1720
429,1641
430,1333
432,1039
434,923
436,1301
437,1257
440,1348
442,1598
443,1283
446,1108
447,1586
448,1229
449,1456
451,1198
454,1116
455,1579
456,709
457,910
458,958
459,1971
460,1581
461,1141
462,1991
463,1384
465,988
466,1398
467,1057
468,746
470,1109
473,1695
474,1536
475,1699
476,1534
477,2015
478,1796
479,802
480,1199
481,943
482,1495
483,1609
484,1212
486,1261
487,882
488,1953
489,1479
490,978
491,1041
492,1734
493,1607
494,1613
495,1486
496,1561
497,904
498,1699
499,1388
500,1400
501,787
502,1860
503,1846
504,1230
505,1537
507,1779
508,1563
509,1498
510,1112
511,1569
512,684
513,1167
514,1907
515,1095
516,1261
518,1323
520,1814
521,990
522,957
523,698
524,1185
525,1849
526,1036
528,904
529,1935
530,1349
531,1364
532,959
533,1823
534,741
535,1893
536,1114
537,1842
538,1242
539,980
540,1027
541,1073
543,1023
544,793
545,938
546,1966
547,1939
548,1045
549,800
550,1018
551,939
552,975
553,926
554,929
555,929
556,913
557,918
559,1039
561,856
562,707
563,697
565,865
566,766
568,946
569,916
570,977
571,986
572,729
573,892
574,746
575,742
576,910
577,946
578,766
579,650
580,807
581,949
582,964
583,820
584,788
585,790
586,710
587,925
590,844
591,734
593,791
594,792
596,1595
610,1133
611,1003
612,1321
613,1577
614,1525
615,1073
616,1127
617,1126
618,1774
619,1214
620,1653
621,1694
622,1055
623,938
624,929
625,1059
626,933
627,1180
628,1519
629,1324
630,1391
631,1585
632,1152
633,950
634,1171
635,1196
636,1294
637,969
638,1225
639,1160
640,1419
641,1071
643,1308
644,1508
645,1162
646,1400
647,925
648,1073
649,1507
650,1185
651,1128
652,944
653,1226
654,1013
655,1814
656,1018
657,1044
658,1027
659,1050
660,839
661,827
662,922
663,959
664,934
665,929
666,902
667,746
668,984
669,803
670,728
671,932
672,1021
673,962
674,765
675,906
676,932
677,1169
678,1204
679,1201
680,982
681,818
682,789
683,1304
684,1025
685,1147
686,1067
687,878
688,936
689,937
690,1203
691,866
692,894
693,972
694,1236
695,1062
696,1121
697,942
698,942
699,1049
700,1226
701,987
702,1928
703,1446
704,1037
705,947
706,1027
707,1243
708,1319
709,1660
711,1467
712,1630
713,1217
714,1503
715,1074
717,1578
719,1797
720,1086
721,1231
722,1511
723,1477
724,1022
725,1352
726,1511
727,1229
728,1692
729,1199
730,1386
731,1787
732,884
733,1534
734,1007
735,1340
736,1221
737,1640
738,1691
739,1619
740,1171
741,1602
742,989
743,1515
744,1549
745,1438
746,1829
747,1436
748,1185
749,1854
750,1749
751,1582
752,1417
753,1786
754,1815
755,1562
756,1879
757,1823
758,1347
759,1309
761,1864
762,1895
764,812
765,959
766,1025
767,1203
768,920
769,821
770,947
771,1344
772,1285
773,1383
774,1597
775,1022
776,1305
777,1550
778,977
779,932
780,1460
781,1422
782,1352
783,913
784,954
785,902
786,1238
787,1057
788,947
789,908
790,1388
791,1056
792,979
793,1073
794,884
795,990
796,1015
797,1703
798,1548
799,1410
800,1947
801,1096
802,1153
804,1135
805,1632
806,834
807,1026
808,1055
809,1025
810,938
811,971
812,941
813,950
814,1506
815,978
816,1024
817,1051
818,1020
819,1794
820,980
821,1655
822,936
823,979
824,1055
825,985
826,1360
827,1028
828,1121
829,1032
831,986
832,937
833,894
834,1494
835,968
836,1406
837,1138
838,1332
839,1364
840,957
841,963
842,1008
843,918
844,1045
845,1045
846,1278
847,1479
848,1324
849,1152
850,1148
851,1025
852,937
853,1155
854,1002
855,925
856,995
857,1089
858,1467
859,1039
860,1253
861,1135
862,931
863,1581
866,1356
867,1857
868,1513
869,1301
870,1806
871,1366
872,1148
873,1153
874,1699
875,1806
876,1413
877,1394
878,1429
879,1049
880,902
881,1136
882,1162
883,927
884,1429
885,1223
886,1762
887,1845
888,1566
889,1428
890,1611
891,1430
892,960
893,1031
894,1340
895,1911
896,1492
897,1433
898,1152
899,1331
900,981
901,1179
902,1236
903,1206
904,1606
905,1445
906,1665
907,1833
908,1630
909,1797
910,1255
911,1139
912,1326
913,1189
914,1920
915,1183
916,1668
917,1285
918,1831
919,1268
920,1406
921,1197
922,1278
923,1520
924,1301
925,1091
926,1387
927,922
929,950
930,1878
931,976
932,941
933,1908
934,930
935,1909
936,1010
937,933
938,1120
939,911
940,1286
941,1518
942,1411
943,1414
944,925
945,1354
946,1365
947,1025
948,1762
949,1508
950,1707
951,1579
952,919
953,969
954,1025
955,1432
956,1156
957,1024
958,893
959,1497
960,953
961,1685
962,1330
964,919
965,1218
966,1161
968,1067
969,920
970,969
971,929
972,792
973,1360
974,906
975,956
976,1058
977,1080
978,929
979,1390
980,1032
981,933
982,1374
983,1089
984,931
985,1182
986,940
987,1183
988,1329
989,939
990,913
991,1175
992,929
993,937
994,840
995,1018
996,962
997,963
998,774
999,1540
1000,958
1001,1033
1002,958
1003,934
1004,979
1005,761
1006,1190
1007,1647
1008,1040
1009,1159
1010,1024
1011,1165
1012,1013
1013,1515
1014,1351
1015,1031
1016,1128
1017,1078
1018,1381
1020,1233
1021,1417
1022,1629
1023,1553
1024,1171
1025,1713
1026,1923
1028,1717
1029,1826
1030,1517
1031,1839
1032,1658
1033,1235
1034,1886
1035,1690
1036,1851
1037,1452
1038,1607
1039,1745
1041,1521
1042,1026
1043,2021
1044,1365
1045,1557
1046,1706
1047,1607
1048,1460
1049,1495
1050,1389
1051,1856
1052,1737
1053,1862
1054,1742
